Synthesizer,Aggregated_Time,Quality_Score,Log10 Aggregated_Time,Pareto,Color,Marker
Uniform,6.368506,0.5518884294248555,0.8040375623108847,True,#01E0C9,circle
Column,171.314463,0.8023867410306927,2.233794029258232,True,#01E0C9,square
GaussianCopula,1213.164869,0.8411843890184594,3.083919825459635,True,#01E0C9,diamond
CopulaGAN,39716.349076,0.9048567749182769,4.598969319153106,True,#01E0C9,cross
TVAE,50681.395192,0.8976650602289481,4.704848561930555,False,#03AFF1,x
CTGAN,118745.033106,0.8682641251155698,5.074615452909372,False,#03AFF1,triangle-up
RealTabFormer,325736.16887399997,0.8339452861302622,5.512865984141412,False,#03AFF1,triangle-down
