Synthesizer,Aggregated_Time,Quality_Score,Log10 Aggregated_Time,Pareto,Color,Marker
GaussianCopula,1408.273126,0.8392243953364535,3.148686891745999,True,#01E0C9,circle
TVAE,118386.213334,0.9016837923755274,5.073301129569421,True,#01E0C9,square
CopulaGAN,230065.27858700004,0.8464518386448352,5.361851079964182,False,#03AFF1,diamond
CTGAN,311736.136192,0.8794938997900378,5.493787148247788,False,#03AFF1,cross
